"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV13531","Bacteria","Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV13532","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Unclassified"
"ASV13533","Bacteria","Verrucomicrobia","Opitutae","Unclassified","Unclassified","Unclassified"
"ASV13554","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV13678","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV13679","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV13680","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV13698","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV13699","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Unclassified"
"ASV13700","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV13838","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unclassified"
"ASV13839","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio"
"ASV13895","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Olsenella"
"ASV13973","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Paenalcaligenes"
"ASV14255","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"ASV14329","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella"
"ASV14398","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"ASV14406","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV14410","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unclassified","Unclassified"
"ASV14467","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV14471","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV14533","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV14552","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV14553","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor"
"ASV14554","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unclassified"
"ASV14579","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
